"area","bedrooms","bathrooms","age","floors","location","price"
2150,3,2.25,56,1.0,"98166",650000.0
1260,3,1.75,61,1.0,"98148",289000.0
2519,3,1.75,42,2.0,"98166",505000.0
1540,3,1.75,1,3.0,"98115",549000.0
1660,3,2.25,36,1.0,"98122",425000.0
2770,3,2.75,90,1.5,"98144",317625.0
2720,4,2.5,26,2.0,"98004",975000.0
2240,4,2.5,10,2.0,"98001",287000.0
1000,3,1.0,47,1.0,"98042",204000.0
3200,5,2.25,50,1.0,"98004",1325000.0
4770,5,3.25,42,1.0,"98005",1040000.0
1260,3,2.0,43,1.0,"98034",325000.0
2750,4,2.0,99,1.5,"98125",571000.0
2380,4,2.5,10,2.0,"98038",360000.0
1790,3,1.75,50,1.0,"98042",349000.0
3430,4,4.0,29,2.0,"98075",832500.0
1760,4,1.75,59,1.0,"98008",380000.0
1040,3,1.0,74,1.0,"98116",480000.0
1410,3,1.0,59,1.0,"98133",410000.0
3450,4,2.5,13,2.0,"98010",720000.0
2350,3,2.5,12,2.0,"98038",390000.0
1900,4,2.5,23,2.0,"98038",360000.0
2020,2,1.0,67,1.0,"98118",355000.0
1680,3,1.5,51,1.0,"98059",356000.0
960,3,1.0,63,1.0,"98125",315000.0
2140,3,1.5,90,2.0,"98119",940000.0
2660,5,2.25,54,1.5,"98092",305000.0
2770,3,3.25,9,2.0,"98056",461000.0
1610,2,2.25,36,2.0,"98056",215000.0
1030,2,1.75,9,2.0,"98136",335000.0
1980,4,2.5,27,2.0,"98023",243500.0
3520,5,2.75,14,2.0,"98199",1099880.0
1200,3,1.0,53,1.0,"98023",153000.0
1580,3,1.5,76,1.0,"98117",430000.0
1580,3,1.5,76,1.0,"98117",700000.0
3300,4,2.5,69,1.0,"98040",905000.0
1960,3,1.75,48,1.0,"98032",247500.0
1160,4,1.5,40,1.0,"98023",199000.0
1810,3,1.75,35,1.0,"98038",314000.0
2320,3,2.5,23,2.0,"98045",437500.0
2070,3,2.5,105,1.5,"98102",850830.0
1980,3,2.0,86,1.5,"98117",555000.0
2190,3,2.25,32,2.0,"98077",699950.0
2920,3,2.5,65,2.0,"98004",1088000.0
1210,3,1.0,61,1.0,"98058",290000.0
2340,3,2.5,37,1.0,"98058",375000.0
1670,3,1.0,76,1.5,"98117",460000.0
1240,2,1.75,30,1.0,"98198",188500.0
3140,4,2.5,24,2.0,"98077",680000.0
2030,5,1.75,73,2.0,"98052",470000.0
2310,4,2.5,31,2.0,"98027",597750.0
1260,3,1.75,110,1.0,"98103",570000.0
1540,3,1.75,35,1.0,"98038",272500.0
2080,3,1.75,44,1.0,"98108",329950.0
3230,4,2.5,14,2.0,"98001",480000.0
4380,3,3.5,115,2.0,"98117",740500.0
1590,3,3.5,5,3.0,"98103",518500.0
880,2,1.0,70,1.0,"98178",205425.0
1570,4,2.0,65,1.0,"98168",171800.0
1610,4,1.0,90,1.5,"98144",535000.0
2400,3,2.5,51,1.0,"98177",660000.0
1450,3,2.0,28,1.0,"98034",391500.0
770,2,1.0,62,1.0,"98117",395000.0
2100,4,1.75,91,1.5,"98118",445000.0
2910,3,2.25,25,2.0,"98052",770000.0
2750,4,2.75,101,1.5,"98004",1450000.0
2100,3,2.25,48,1.0,"98178",445000.0
2160,4,2.25,37,1.0,"98023",260000.0
2320,5,3.5,89,2.0,"98103",822500.0
2070,4,2.5,11,2.0,"98065",430000.0
1060,3,1.75,29,1.0,"98092",212000.0
2010,4,2.25,29,1.0,"98027",660500.0
3950,3,3.5,26,1.5,"98052",784000.0
2010,3,2.5,1,2.0,"98029",453246.0
2140,4,3.5,10,3.0,"98107",675000.0
1320,3,1.75,59,1.0,"98003",199000.0
2020,4,1.75,47,1.0,"98003",220000.0
2590,4,2.25,47,1.0,"98028",452000.0
1190,2,1.0,34,1.0,"98125",382500.0
1170,3,2.25,1,3.0,"98107",519950.0
1110,2,1.0,90,1.0,"98119",665000.0
2820,5,2.5,47,1.0,"98006",527700.0
1610,3,1.0,53,1.0,"98058",205000.0
1060,3,1.0,92,1.0,"98133",420000.0
2030,4,2.25,54,1.0,"98006",500000.0
3670,4,2.5,21,2.0,"98077",921500.0
2550,4,1.0,110,2.0,"98109",890000.0
2420,2,2.5,8,2.0,"98027",430000.0
2260,5,2.0,55,1.0,"98032",258000.0
1430,3,1.0,68,1.0,"98103",511000.0
1360,3,2.0,25,2.0,"98103",532170.0
1110,3,1.0,68,1.5,"98107",560000.0
1250,3,1.0,61,1.0,"98003",282950.0
5180,4,3.25,9,2.0,"98006",2250000.0
700,1,1.0,73,1.0,"98115",350000.0
1180,3,1.0,48,1.0,"98058",215000.0
3960,5,3.5,19,2.0,"98056",650000.0
2640,4,2.75,48,1.0,"98023",320000.0
1270,3,2.0,99,1.5,"98022",247000.0
1760,4,1.75,47,1.0,"98059",320000.0
2060,5,2.25,53,1.0,"98146",255000.0
1780,3,1.75,53,1.0,"98034",438000.0
3400,3,2.5,15,2.0,"98075",900000.0
1910,3,2.75,36,1.0,"98034",441000.0
2020,3,2.0,40,1.0,"98027",420000.0
1580,3,1.75,39,1.0,"98034",370000.0
1340,2,1.75,66,1.0,"98198",269950.0
2680,4,2.5,16,2.0,"98006",807100.0
2680,3,2.5,36,1.0,"98034",653000.0
1370,3,2.0,51,1.0,"98133",371500.0
1560,3,1.75,61,1.0,"98166",284000.0
2160,3,1.75,37,1.0,"98023",272000.0
1340,3,1.5,60,1.5,"98133",313000.0
3880,4,2.5,31,2.0,"98033",917500.0
2590,4,2.25,35,2.0,"98006",673000.0
1120,3,2.5,7,2.0,"98122",425000.0
1970,5,2.75,29,1.0,"98144",399950.0
1220,3,1.0,114,1.0,"98122",385000.0
1950,3,1.5,40,1.0,"98022",269950.0
1350,2,1.0,66,1.0,"98177",330000.0
1670,3,2.5,27,2.0,"98030",260000.0
2380,4,3.0,90,1.5,"98126",470000.0
2440,4,3.0,54,2.0,"98034",589000.0
1050,2,1.5,19,2.0,"98038",163500.0
3130,4,2.75,22,2.0,"98052",835000.0
4090,5,3.0,29,1.0,"98033",1095000.0
1490,4,1.75,46,1.0,"98023",269000.0
1900,3,2.5,28,2.0,"98074",560000.0
1330,4,1.0,114,1.5,"98103",615000.0
2230,3,2.25,40,1.0,"98052",585188.0
1650,3,1.75,38,1.0,"98034",305000.0
1190,3,1.0,56,1.0,"98058",166950.0
2140,3,2.5,56,1.0,"98040",799000.0
2180,3,2.5,53,1.0,"98133",400000.0
1060,3,1.0,67,1.0,"98155",230000.0
1690,3,2.5,12,2.0,"98023",256883.0
1970,4,2.0,95,1.5,"98108",423000.0
2150,3,2.5,8,2.0,"98126",465000.0
1910,3,2.5,18,2.0,"98024",440000.0
1350,3,1.75,46,1.0,"98038",385000.0
860,3,1.0,72,1.0,"98056",210000.0
1940,3,2.5,21,2.0,"98042",297000.0
1010,3,1.0,63,1.0,"98107",470000.0
1300,3,1.5,39,1.0,"98023",226500.0
910,3,1.0,53,1.0,"98059",274250.0
2480,4,1.75,49,1.0,"98040",840000.0
2440,3,2.5,5,2.0,"98052",677900.0
1010,3,1.0,100,1.0,"98116",425000.0
900,2,0.75,74,1.0,"98166",180250.0
2300,6,3.0,95,2.0,"98133",464000.0
1550,4,2.25,22,2.0,"98038",320000.0
1270,3,2.25,1,2.0,"98105",625504.0
2240,4,2.5,32,1.0,"98074",592500.0
2714,3,2.5,10,2.0,"98001",465000.0
1720,4,2.75,37,2.0,"98118",477000.0
850,2,1.0,92,1.0,"98168",280000.0
3300,5,3.0,58,1.0,"98040",1505000.0
2250,3,2.5,15,2.0,"98146",445838.0
3900,2,2.25,68,1.0,"98144",1072000.0
1320,2,1.5,68,1.0,"98177",467000.0
2760,4,2.5,16,2.0,"98075",686000.0
1750,3,2.0,54,1.0,"98198",279950.0
2330,4,2.25,28,2.0,"98011",527000.0
2220,3,2.25,49,1.0,"98030",325000.0
2020,3,2.25,21,2.0,"98038",328000.0
1250,3,2.25,73,1.0,"98146",390000.0
1510,2,2.0,10,1.0,"98053",479950.0
1720,4,2.25,37,1.0,"98023",264950.0
1430,3,1.0,54,1.0,"98031",235000.0
1480,3,2.5,11,2.0,"98053",516500.0
1450,2,1.75,100,2.0,"98166",655000.0
2280,4,2.75,55,1.0,"98059",500000.0
2940,6,2.75,37,1.0,"98023",315000.0
1000,2,1.0,54,1.0,"98024",213000.0
2480,3,1.5,68,1.5,"98108",475000.0
3760,5,4.0,32,2.0,"98033",1025000.0
2220,3,2.0,39,1.0,"98010",416000.0
1970,4,1.0,111,1.5,"98122",410000.0
3830,3,3.5,22,2.0,"98077",800000.0
4410,6,2.5,50,1.0,"98003",472000.0
1430,3,1.75,47,1.0,"98003",225000.0
830,2,1.0,75,1.0,"98126",210000.0
1430,2,1.0,90,1.5,"98115",455000.0
1300,3,1.0,61,1.0,"98002",225000.0
1030,2,1.0,97,1.0,"98103",480000.0
2740,3,2.5,25,2.0,"98023",363000.0
3650,4,2.5,15,1.0,"98074",2400000.0
720,2,1.5,61,1.0,"98106",181000.0
2010,4,2.0,39,1.0,"98002",250000.0
1560,3,1.75,97,1.0,"98103",481000.0
1810,3,2.0,37,1.0,"98032",260000.0
3360,4,2.5,14,2.0,"98058",455000.0
1510,3,2.25,24,2.0,"98045",415000.0
1400,3,1.0,62,1.0,"98118",349500.0
1730,3,2.5,28,2.0,"98030",245000.0
1420,2,2.0,87,1.5,"98115",592500.0
2360,4,1.75,60,1.0,"98106",385000.0
1580,3,1.75,41,1.0,"98059",315000.0
1230,3,1.0,36,1.0,"98045",255000.0
2460,4,2.5,9,2.0,"98052",693000.0
1660,3,1.0,104,1.5,"98112",780000.0
1270,3,1.75,55,1.0,"98198",237000.0
2100,3,2.25,36,2.0,"98074",525000.0
770,2,1.0,85,1.0,"98144",425000.0
760,1,0.75,79,1.0,"98070",369900.0
1700,4,2.5,27,2.0,"98031",290000.0
1120,3,1.0,61,1.0,"98106",285000.0
1070,2,1.0,78,1.0,"98115",415000.0
2070,3,2.5,36,1.0,"98023",272500.0
5050,4,3.25,33,1.5,"98004",2900000.0
5310,4,4.75,26,2.0,"98077",1365000.0
1040,2,1.0,76,1.0,"98133",436000.0
1700,3,1.0,48,1.0,"98003",210000.0
1300,3,1.0,54,1.0,"98178",236000.0
1080,3,1.75,61,1.0,"98199",331000.0
2653,3,2.5,9,2.0,"98031",365000.0
2290,3,2.0,55,1.0,"98058",450000.0
3820,4,2.75,1,2.0,"98028",770000.0
2210,4,2.5,18,1.0,"98038",455000.0
2390,3,1.75,107,1.0,"98118",405000.0
2600,4,1.75,46,1.0,"98031",304900.0
860,2,1.0,84,1.0,"98178",170000.0
3830,5,3.0,110,2.0,"98122",2050000.0
3500,4,2.5,10,2.0,"98053",780000.0
2420,3,3.0,27,1.0,"98028",330000.0
2720,4,2.5,23,2.0,"98030",370000.0
2500,5,2.25,36,1.0,"98072",467000.0
1670,3,1.75,35,1.0,"98034",405000.0
2900,5,2.25,30,1.0,"98006",675000.0
1640,2,1.0,61,1.0,"98006",500000.0
1890,4,2.5,47,2.0,"98166",389999.0
2950,4,1.75,40,1.0,"98034",630000.0
2160,4,2.5,23,2.0,"98001",360000.0
3280,4,3.0,29,2.0,"98056",580000.0
1970,3,2.0,86,2.0,"98126",550000.0
3360,4,2.5,21,2.0,"98075",879000.0
1320,3,2.0,22,1.0,"98042",265000.0
2650,3,2.5,25,2.0,"98059",446500.0
2030,3,1.5,52,1.0,"98108",404000.0
1590,3,1.75,58,1.0,"98188",267500.0
2440,3,2.5,17,2.0,"98003",335000.0
1940,3,2.5,67,1.0,"98117",576000.0
2040,3,2.5,9,2.0,"98038",208633.0
2200,3,2.25,51,1.0,"98166",315000.0
1920,3,1.75,102,1.0,"98112",725000.0
1800,4,2.75,50,1.0,"98177",550000.0
2180,4,2.25,31,2.0,"98074",610750.0
1010,2,1.0,107,1.5,"98105",550700.0
3320,4,2.75,55,2.0,"98056",665000.0
2370,4,2.5,87,1.5,"98144",834000.0
1660,5,1.75,100,1.5,"98065",201000.0
3650,5,2.5,94,2.0,"98119",2384000.0
4290,4,3.25,18,1.0,"98006",1384000.0
4290,4,3.25,18,1.0,"98006",1400000.0
1950,4,2.25,36,1.0,"98058",305000.0
2590,3,2.0,67,1.0,"98133",487000.0
1930,3,2.5,27,1.0,"98042",390000.0
1470,2,1.0,99,1.0,"98103",548000.0
800,4,1.0,72,1.0,"98166",268750.0
3150,5,2.75,2,2.0,"98052",819900.0
2030,3,2.25,31,2.0,"98027",520000.0
1450,3,2.0,12,1.0,"98001",230000.0
1510,3,1.75,46,1.0,"98023",240000.0
1240,2,1.0,93,1.0,"98146",232000.0
1240,2,1.0,93,1.0,"98146",240500.0
3030,3,2.5,28,2.0,"98077",274975.0
2050,4,2.0,93,1.5,"98102",740000.0
1000,3,1.0,63,1.0,"98166",186375.0
2370,3,2.25,38,1.0,"98005",790000.0
2800,4,3.5,64,2.0,"98105",880000.0
2240,6,1.75,60,2.0,"98198",279000.0
1810,3,2.0,24,1.0,"98022",295000.0
1070,2,1.0,91,1.0,"98103",640000.0
2490,4,2.0,47,2.0,"98040",940000.0
1960,4,2.5,12,2.0,"98038",260000.0
2930,3,2.75,11,1.0,"98072",559900.0
1510,4,2.0,104,1.5,"98103",791500.0
1420,3,1.75,61,1.0,"98133",265000.0
1740,3,1.75,61,1.0,"98178",245000.0
2560,4,1.75,53,2.0,"98052",485000.0
3040,4,3.5,5,2.0,"98059",684000.0
2500,3,1.75,58,1.0,"98125",425000.0
1275,4,1.75,24,1.0,"98070",309600.0
2580,4,2.5,13,2.0,"98065",552250.0
1000,4,1.0,72,1.0,"98178",165000.0
1000,4,1.0,72,1.0,"98178",239900.0
1070,2,1.0,85,1.0,"98059",320000.0
1390,3,2.0,28,1.0,"98030",206600.0
2500,4,1.75,42,1.0,"98155",387000.0
560,1,0.75,48,1.0,"98014",299000.0
2270,4,2.75,50,2.0,"98040",855000.0
1900,3,1.0,61,1.0,"98166",315000.0
990,2,1.0,108,1.0,"98103",437500.0
1550,4,1.5,46,1.0,"98001",252000.0
2200,4,1.75,60,1.0,"98118",375000.0
1910,4,2.5,10,2.0,"98038",300000.0
1750,4,1.0,61,1.5,"98006",420000.0
1330,3,1.0,87,1.0,"98033",900000.0
2440,3,2.5,15,2.0,"98116",679900.0
1640,3,2.5,23,2.0,"98053",463000.0
2760,5,2.5,37,2.0,"98059",380000.0
1820,4,2.5,21,2.0,"98038",329500.0
2110,3,2.5,2,1.0,"98033",604950.0
3040,5,2.5,49,1.0,"98006",795000.0
1840,3,2.0,21,2.0,"98045",465000.0
2990,4,2.5,13,2.0,"98166",673000.0
3520,4,2.5,24,2.0,"98074",810000.0
2440,4,2.75,26,1.0,"98075",785000.0
2090,4,3.0,29,1.0,"98056",338000.0
1430,3,2.25,22,2.0,"98056",280000.0
2180,4,2.25,61,1.0,"98133",315000.0
2180,4,2.25,61,1.0,"98133",530000.0
3450,5,3.0,11,2.0,"98023",380000.0
1450,3,2.25,21,2.0,"98056",297000.0
3230,4,2.5,11,2.0,"98075",730000.0
1640,3,1.75,75,1.0,"98125",450000.0
1590,3,3.0,18,1.0,"98038",275000.0
2020,4,2.0,55,2.0,"98115",595000.0
1300,3,1.5,111,1.5,"98144",435000.0
1380,2,1.5,61,1.0,"98011",270000.0
4040,3,3.0,29,2.0,"98077",950000.0
2130,4,2.25,14,2.0,"98019",389000.0
2550,4,2.25,47,1.0,"98052",560000.0
4800,5,3.5,17,2.0,"98006",1350000.0
2510,4,2.25,46,2.0,"98040",799000.0
1410,3,2.0,32,1.0,"98072",365500.0
1650,3,2.0,36,1.0,"98058",252350.0
2120,4,2.5,22,2.0,"98146",403950.0
2040,4,1.5,61,1.0,"98177",385000.0
1550,4,1.0,58,1.5,"98106",345000.0
1980,3,2.75,36,2.0,"98008",490000.0
1600,3,2.5,10,2.0,"98019",330000.0
3300,4,2.75,62,2.0,"98004",927000.0
3840,4,2.5,32,2.0,"98040",1118000.0
1220,2,1.0,65,1.0,"98028",330000.0
2720,5,2.25,57,1.0,"98008",530000.0
1940,4,2.0,53,1.0,"98006",365000.0
2160,3,2.5,106,1.5,"98118",378750.0
1530,4,1.75,47,1.5,"98058",269900.0
1710,3,3.5,7,2.0,"98122",557000.0
3730,4,1.75,41,1.0,"98022",360000.0
940,2,1.0,78,1.0,"98117",352000.0
1750,3,2.5,21,2.0,"98045",437000.0
1820,4,2.5,21,2.0,"98038",322500.0
1510,3,3.25,14,2.0,"98116",650000.0
1290,3,2.0,14,3.0,"98103",450000.0
1570,3,2.0,17,1.0,"98092",278500.0
1930,4,2.5,20,2.0,"98055",364950.0
2840,4,3.5,29,1.0,"98038",840000.0
1550,3,2.5,24,2.0,"98031",268000.0
833,2,1.0,9,1.0,"98070",517534.0
2990,3,2.5,37,2.0,"98077",632925.0
2000,3,2.5,20,2.0,"98034",577500.0
2390,4,1.5,95,1.5,"98178",339000.0
2910,3,1.75,48,1.0,"98052",570000.0
2085,4,1.75,51,1.0,"98024",563500.0
2200,4,2.25,53,1.0,"98133",423000.0
1860,3,2.25,3,2.0,"98019",355000.0
6070,5,4.25,16,2.0,"98024",1550000.0
950,2,1.0,74,1.0,"98103",482000.0
1600,3,1.75,60,1.0,"98006",625000.0
2250,3,2.5,27,2.0,"98056",538000.0
2280,3,2.5,30,2.0,"98058",380000.0
940,2,1.0,106,1.0,"98122",375000.0
1530,3,2.5,19,1.0,"98038",245000.0
2190,5,1.75,68,1.0,"98166",310000.0
2350,3,2.0,39,1.0,"98004",1300000.0
1440,4,2.0,44,1.0,"98034",397000.0
2200,3,2.5,10,2.0,"98058",365000.0
2290,4,3.0,25,2.0,"98042",328500.0
4040,4,3.0,28,2.0,"98052",988000.0
2610,4,2.5,93,1.5,"98103",1000000.0
1490,3,2.5,10,2.0,"98055",237000.0
2450,4,2.5,12,2.0,"98011",525000.0
1710,4,2.5,39,1.0,"98006",749000.0
4870,5,2.5,32,2.0,"98074",722500.0
3130,3,2.5,24,2.0,"98052",843000.0
1270,2,2.0,15,3.0,"98115",438000.0
2120,3,1.75,38,1.0,"98146",578000.0
1670,3,1.5,61,1.0,"98001",227950.0
2070,3,2.25,41,2.0,"98001",196000.0
1420,2,1.0,62,1.0,"98105",641000.0
1250,3,1.5,35,1.0,"98038",350000.0
940,3,1.0,55,1.0,"98032",205000.0
1920,3,1.75,47,1.0,"98072",400000.0
3545,3,2.5,10,1.0,"98027",1030000.0
1260,3,2.0,43,1.0,"98034",505000.0
2340,5,2.5,40,1.0,"98034",475000.0
2590,3,2.25,38,1.0,"98028",520000.0
3970,3,4.5,38,2.0,"98034",1450000.0
1220,3,1.75,50,1.0,"98011",333500.0
1400,3,1.0,39,1.0,"98038",232000.0
2360,3,2.75,32,1.0,"98006",691100.0
1870,3,1.75,55,1.0,"98040",811000.0
2830,3,2.5,14,2.0,"98028",551000.0
2260,3,2.5,21,2.0,"98072",496500.0
1970,3,3.0,35,2.0,"98070",705000.0
3140,4,2.5,49,1.0,"98055",578000.0
1240,3,1.75,29,1.0,"98042",255000.0
3450,4,3.5,8,2.0,"98006",1050000.0
2570,3,2.25,26,2.0,"98042",348000.0
1510,3,2.0,30,2.0,"98031",230000.0
2390,4,2.25,27,2.0,"98023",359500.0
980,3,1.0,62,1.0,"98133",330000.0
430,1,0.75,103,1.0,"98014",80000.0
1480,3,1.75,61,1.0,"98133",465000.0
1850,4,2.5,18,2.0,"98042",325000.0
2270,3,2.0,68,1.0,"98168",340500.0
1810,3,2.5,22,2.0,"98038",342500.0
1610,2,2.0,85,2.0,"98178",290900.0
3840,3,4.25,15,2.0,"98074",868700.0
4110,4,2.75,87,2.0,"98125",1199000.0
4190,4,3.25,15,2.0,"98074",1150000.0
3390,4,2.75,4,2.0,"98074",859900.0
1890,4,2.25,12,2.0,"98029",520000.0
1610,3,2.5,10,2.0,"98118",460000.0
1050,3,1.5,66,1.0,"98115",438924.0
630,2,1.0,97,1.0,"98126",315000.0
2910,4,2.75,40,1.0,"98033",590000.0
1700,4,1.75,60,1.0,"98006",378500.0
1950,3,2.5,25,2.0,"98042",328500.0
2990,3,3.0,42,2.0,"98005",849950.0
1350,3,1.5,65,1.0,"98136",525000.0
4860,4,3.25,22,2.5,"98074",1385000.0
2160,4,2.5,37,1.0,"98023",295000.0
4860,6,3.5,17,2.0,"98006",1067000.0
890,2,2.0,98,1.0,"98118",207950.0
2810,4,2.75,13,2.0,"98075",699900.0
3400,5,2.5,38,2.0,"98027",1280000.0
1580,4,1.5,52,1.0,"98052",452000.0
1680,3,2.0,28,1.0,"98055",370000.0
1300,3,1.75,47,1.0,"98042",232000.0
2820,5,2.5,55,2.0,"98034",669950.0
1510,3,2.0,43,1.0,"98034",397500.0
1230,2,2.5,11,2.0,"98112",490000.0
2110,4,2.0,90,2.0,"98116",725000.0
3080,3,2.75,57,1.0,"98032",299000.0
1490,2,1.5,115,1.5,"98116",625000.0
2120,3,2.5,15,2.0,"98065",437500.0
3180,4,2.5,12,2.0,"98065",650000.0
1490,2,1.0,86,1.0,"98117",475000.0
1930,3,2.0,49,1.0,"98042",342000.0
2770,4,2.5,16,2.0,"98033",1197350.0
1670,3,1.5,52,1.0,"98055",280000.0
1330,2,1.75,22,1.0,"98188",240000.0
1210,3,1.0,91,1.5,"98107",529000.0
1190,3,1.0,74,1.0,"98136",442000.0
1540,2,1.0,69,1.0,"98119",615000.0
4030,4,3.75,9,2.0,"98033",1485000.0
2430,4,1.75,34,1.0,"98052",585000.0
2600,4,2.5,10,2.0,"98059",480000.0
4410,5,3.5,25,2.0,"98053",1095000.0
1330,4,1.0,66,1.5,"98133",290000.0
1900,3,1.75,64,1.0,"98116",615000.0
1100,2,1.0,65,1.0,"98133",300000.0
1980,3,1.0,83,1.5,"98030",308000.0
2400,3,2.5,14,2.0,"98033",750000.0
4760,4,2.25,99,2.5,"98112",2250000.0
3180,4,3.25,10,2.0,"98059",890000.0
1190,3,1.0,57,1.0,"98058",288000.0
630,2,1.0,72,1.0,"98178",190000.0
2530,5,3.0,10,1.0,"98133",515000.0
1690,4,1.5,85,1.0,"98055",235000.0
940,2,1.0,64,1.0,"98126",275000.0
1240,2,2.0,63,1.0,"98004",727500.0
3040,4,2.5,12,2.0,"98053",650000.0
6050,6,5.0,14,2.0,"98024",1600000.0
1590,4,1.0,71,1.5,"98125",365000.0
2500,3,1.75,31,1.0,"98052",662000.0
1780,3,2.5,37,1.0,"98038",270500.0
1360,2,1.5,37,2.0,"98092",200000.0
4740,4,3.25,28,2.0,"98075",970000.0
1010,3,1.5,53,1.0,"98198",160000.0
1040,3,1.0,44,1.0,"98010",204000.0
1610,3,2.25,30,2.0,"98058",358000.0
1570,4,1.75,36,1.0,"98011",452000.0
1510,2,2.0,115,1.0,"98103",595000.0
1360,3,2.0,21,1.0,"98042",249000.0
1970,4,2.5,16,2.0,"98055",346900.0
5403,3,2.5,39,2.0,"98166",2125000.0
1560,4,2.5,12,2.0,"98056",280000.0
2320,4,1.75,42,1.0,"98032",318888.0
2120,3,2.25,48,1.0,"98075",530000.0
2120,3,2.25,32,2.0,"98031",375000.0
3350,4,2.5,27,2.0,"98052",910000.0
2380,4,2.5,24,2.0,"98006",782000.0
1070,2,2.0,7,2.0,"98106",259950.0
2300,4,2.75,36,1.0,"98058",315000.0
1320,2,1.0,72,1.0,"98168",215000.0
2180,3,1.75,69,1.0,"98040",705000.0
4380,3,3.0,63,2.0,"98199",1450000.0
1790,3,1.75,66,2.0,"98155",451000.0
750,2,1.0,72,1.0,"98055",261000.0
1300,3,1.5,59,1.0,"98028",396000.0
2990,4,2.5,16,2.0,"98059",725000.0
4640,7,3.5,50,2.0,"98040",1950000.0
1400,4,1.0,56,1.5,"98188",238000.0
2750,6,1.75,42,2.0,"98052",750000.0
2050,4,2.5,17,2.0,"98042",331500.0
2230,4,3.0,37,1.0,"98065",460000.0
2340,4,2.25,33,1.0,"98092",404950.0
2870,3,2.5,1,2.0,"98103",880000.0
4120,4,2.5,18,2.0,"98074",863000.0
2080,3,1.75,55,1.0,"98005",638700.0
1840,3,2.5,7,2.0,"98053",435000.0
1180,3,1.0,56,1.5,"98178",260000.0
2160,5,2.75,88,1.5,"98105",671500.0
1180,3,1.0,108,1.5,"98109",610000.0
1160,2,0.75,78,1.0,"98014",405000.0
1830,4,2.5,12,2.0,"98038",338900.0
3200,4,4.0,11,2.0,"98075",720000.0
2560,5,3.0,88,1.5,"98108",442000.0
2550,5,2.75,113,1.5,"98122",650000.0
1330,3,1.75,34,1.0,"98058",263500.0
1220,2,1.0,52,1.0,"98038",300000.0
1805,3,2.5,6,2.0,"98002",266000.0
6050,4,4.0,6,2.5,"98077",930000.0
2320,4,2.5,11,2.0,"98028",530000.0
1384,3,1.0,50,1.0,"98023",180000.0
2720,3,2.5,10,2.0,"98065",619000.0
